F-K PARITE — Bugra Locket yaka parcalari, boyun (ic) kenar sagitta
kaynak: patterns_real/geometry/geometry-full.json
NOT: PARITE gozlemi (v5 SC). Kapi degil, hicbir fazi kirmizi dusurmez.

parca                      beden   kiris c  sagitta s    yay L     s/c  Phi (deg)
EXTRA-TL                      34    287.87      63.43   436.50  0.2203      95.13
EXTRA-TL                      36    290.78      64.07   440.90  0.2203      95.13
EXTRA-TL                      38    290.78      64.07   440.91  0.2203      95.13
EXTRA-TL                      40    295.14      64.60   448.49  0.2189      94.57
EXTRA-TL                      42    299.60      65.98   454.36  0.2202      95.08
EXTRA-TL                      44    320.40      76.43   512.70  0.2386     102.03
EXTRA-TL                      46    327.92      75.89   519.68  0.2314      99.35
EXTRA-TL                      48    331.84      77.23   524.94  0.2327      99.84
Collar                        34    236.66      49.99   262.40  0.2112      91.60
Collar                        36    237.89      50.60   264.12  0.2127      92.18
Collar                        38    237.39      50.77   264.34  0.2139      92.63
Collar                        40    249.61      53.95   277.22  0.2161      93.51
Collar                        42    251.07      49.73   275.64  0.1981      86.45
Collar                        44    255.28      49.80   279.77  0.1951      85.26
Collar                        46    256.77      50.13   281.87  0.1952      85.32
Collar                        48    262.92      50.31   287.75  0.1914      83.77
Collar Lining                 34    190.54      30.93   203.44  0.1623      71.94
Collar Lining                 36    191.17      31.09   204.03  0.1626      72.07
Collar Lining                 38    190.85      31.46   203.98  0.1649      72.99
Collar Lining                 40    203.85      31.09   216.63  0.1525      67.86
Collar Lining                 42    204.88      31.60   217.66  0.1542      68.58
Collar Lining                 44    207.88      37.44   225.16  0.1801      79.24
Collar Lining                 46    212.54      38.56   229.81  0.1814      79.77
Collar Lining                 48    171.22       0.00   171.22  0.0000       0.00

HUKUM YOK. Tek soylenen: bu kenarlarin sagitta'si SIFIR DEGIL.
