size  shaping  fabric  cap       drawn_armhole  declared   H1(mm)     H2(dev)    H3(dev)
EU34  Dart     Woven  Plain        353.206270 353.206270   0.000000   0.000514   0.000000
EU34  Dart     Woven  Gathered     353.206270 353.206270   0.000000   0.000000   0.000000
EU34  Dart     Woven  Puffed       353.206270 353.206270   0.000000   0.000000   0.000000
EU34  Dart     Knit   Plain        348.235270 348.235270   0.000000   0.001191   0.000000
EU34  Dart     Knit   Gathered     348.235270 348.235270   0.000000   0.000000   0.000000
EU34  Dart     Knit   Puffed       348.235270 348.235270   0.000000   0.000000   0.000000
EU34  Princess Woven  Plain        353.208479 353.206270   0.002210   0.000508   0.000000
EU34  Princess Woven  Gathered     353.208479 353.206270   0.002210   0.000000   0.000000
EU34  Princess Woven  Puffed       353.208479 353.206270   0.002210   0.000000   0.000000
EU34  Princess Knit   Plain        348.236243 348.235270   0.000973   0.001194   0.000000
EU34  Princess Knit   Gathered     348.236243 348.235270   0.000973   0.000000   0.000000
EU34  Princess Knit   Puffed       348.236243 348.235270   0.000973   0.000000   0.000000
EU36  Dart     Woven  Plain        362.592279 362.592279   0.000000   0.001287   0.000000
EU36  Dart     Woven  Gathered     362.592279 362.592279   0.000000   0.000000   0.000000
EU36  Dart     Woven  Puffed       362.592279 362.592279   0.000000   0.000000   0.000000
EU36  Dart     Knit   Plain        355.720285 355.720285   0.000000   0.000495   0.000000
EU36  Dart     Knit   Gathered     355.720285 355.720285   0.000000   0.000000   0.000000
EU36  Dart     Knit   Puffed       355.720285 355.720285   0.000000   0.000000   0.000000
EU36  Princess Woven  Plain        362.595753 362.592279   0.003474   0.001297   0.000000
EU36  Princess Woven  Gathered     362.595753 362.592279   0.003474   0.000000   0.000000
EU36  Princess Woven  Puffed       362.595753 362.592279   0.003474   0.000000   0.000000
EU36  Princess Knit   Plain        355.722043 355.720285   0.001758   0.000500   0.000000
EU36  Princess Knit   Gathered     355.722043 355.720285   0.001758   0.000000   0.000000
EU36  Princess Knit   Puffed       355.722043 355.720285   0.001758   0.000000   0.000000
EU38  Dart     Woven  Plain        373.055575 373.055575   0.000000   0.000559   0.000000
EU38  Dart     Woven  Gathered     373.055575 373.055575   0.000000   0.000000   0.000000
EU38  Dart     Woven  Puffed       373.055575 373.055575   0.000000   0.000000   0.000000
EU38  Dart     Knit   Plain        364.245656 364.245656   0.000000   0.000963   0.000000
EU38  Dart     Knit   Gathered     364.245656 364.245656   0.000000   0.000000   0.000000
EU38  Dart     Knit   Puffed       364.245656 364.245656   0.000000   0.000000   0.000000
EU38  Princess Woven  Plain        373.060573 373.055575   0.004998   0.000545   0.000000
EU38  Princess Woven  Gathered     373.060573 373.055575   0.004998   0.000000   0.000000
EU38  Princess Woven  Puffed       373.060573 373.055575   0.004998   0.000000   0.000000
EU38  Princess Knit   Plain        364.248467 364.245656   0.002811   0.000955   0.000000
EU38  Princess Knit   Gathered     364.248467 364.245656   0.002811   0.000000   0.000000
EU38  Princess Knit   Puffed       364.248467 364.245656   0.002811   0.000000   0.000000
EU40  Dart     Woven  Plain        383.758019 383.758019   0.000000   0.001036   0.000000
EU40  Dart     Woven  Gathered     383.758019 383.758019   0.000000   0.000000   0.000000
EU40  Dart     Woven  Puffed       383.758019 383.758019   0.000000   0.000000   0.000000
EU40  Dart     Knit   Plain        373.139351 373.139351   0.000000   0.000054   0.000000
EU40  Dart     Knit   Gathered     373.139351 373.139351   0.000000   0.000000   0.000000
EU40  Dart     Knit   Puffed       373.139351 373.139351   0.000000   0.000000   0.000000
EU40  Princess Woven  Plain        383.764594 383.758019   0.006575   0.001054   0.000000
EU40  Princess Woven  Gathered     383.764594 383.758019   0.006575   0.000000   0.000000
EU40  Princess Woven  Puffed       383.764594 383.758019   0.006575   0.000000   0.000000
EU40  Princess Knit   Plain        373.143317 373.139351   0.003966   0.000043   0.000000
EU40  Princess Knit   Gathered     373.143317 373.139351   0.003966   0.000000   0.000000
EU40  Princess Knit   Puffed       373.143317 373.139351   0.003966   0.000000   0.000000
EU42  Dart     Woven  Plain        395.990493 395.990493   0.000000   0.000595   0.000000
