id	dosya:satir	iddia	sinif	basan_alet	zaman
C1	web//index.html:176	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:176	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:176	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:179	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:179	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:179	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:316	EU34 to 52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:316	EU34 to 52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:317	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:317	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:317	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:336	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:336	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//index.html:336	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//js/studio.js:356	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//js/studio.js:372	EU34 to 52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//studio.html:56	EU34 to 52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C1	web//api.html:161	EU34–52	YALAN	contract/layers/shape-ratios.json sizes=8 (python -c json)	present
C2	web//index.html:316	10 of 10	YALAN	shape-ratios.json 8 sizes; contract.gen.hpp has 10 rows but shaperatios.gen.hpp gives EU50/52 zeros	present
C2	web//index.html:316	10 of 10	YALAN	shape-ratios.json 8 sizes; contract.gen.hpp has 10 rows but shaperatios.gen.hpp gives EU50/52 zeros	present
C3	web//js/print.js:69	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches/3-12.html:84	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches/3-12.html:84	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches/3-27.html:82	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//patches/3-27.html:82	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/halter-neckline.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/halter-neckline.html:113	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/pleated-skirt.html:26	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
C3	web//styles/pleated-skirt.html:110	your own measurements	YALAN	README.md:3 FIXED-SIZE; contract/layers/size-table.json 8 sizes	present
