worktree ok:       33 entries
KEY            FILE                               OLD   NEW  DELTA
backDetail     contract/anchors-v1.json             0     1     +1
backOpening    engine/tools/spec-diff.mjs           0     1     +1
backSlit       contract/anchors-v1.json             0     2     +2
buttonRow      contract/anchors-v1.json             0     1     +1
edgeFinish     contract/anchors-v1.json             0     1     +1
exposedZip     contract/anchors-v1.json             0     2     +2
garment        contract/anchors-v1.json             0     1     +1
garment        engine/tools/foto-spec-olcum.mjs     3     9     +6
garment        engine/tools/spec-diff.mjs           2     6     +4
hemShape       contract/anchors-v1.json             0     1     +1
neckline       contract/anchors-v1.json             0     5     +5
neckline       engine/tools/foto-spec-olcum.mjs     4     6     +2
peplum         contract/anchors-v1.json             0     1     +1
ruffledStraps  contract/anchors-v1.json             0     1     +1
shaping        engine/tools/foto-spec-olcum.mjs     2     3     +1
shaping        engine/tools/spec-diff.mjs           0     1     +1
shoulderStyle  contract/anchors-v1.json             0     1     +1
skirtStyle     engine/tools/foto-spec-olcum.mjs     2     3     +1
skirtStyle     engine/tools/spec-diff.mjs           0     1     +1
sleeveCap      contract/anchors-v1.json             0     2     +2
topLength      engine/tools/foto-spec-olcum.mjs     2     3     +1
yoke           contract/anchors-v1.json             0     1     +1
yoke           engine/tools/foto-spec-olcum.mjs     0     1     +1
VAL:keyhole    contract/anchors-v1.json             0     1     +1
VAL:skirt      contract/anchors-v1.json             0     2     +2
VAL:sleeve     contract/anchors-v1.json             0     1     +1
